CDIV	ERCT	FRCC	MROE	MROW	NEWE	NYCW	NYLI	NYUP	RFCE	RFCM	RFCW	SRDA	SRGW	SRSE	SRCE	SRVC	SPNO	SPSO	AZNM	CAMX	NWPP	RMPA
1	0	0	0	0	0.948785623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0.051214377	1	1	1	0.717998142	0	0.009736595	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.879740291	0.066122934	0	0	0	0	0.003555862	1	0.830641692	0	0.413025826	0	0	0	0	0	0	0	0	0
4	0	0	0.038420892	0.889123048	0	0	0	0	0	0	0	0	0.484720919	0	0	0	0.872662799	0	0	0	0	0.041931775
5	0	0.995504899	0	0	0	0	0	0	0.252692417	0	0.086711345	0	0	0.608582182	0.139021643	0.968890293	0	0	0	0	0	0
6	0	0.004495101	0.031904364	0.036529556	0	0	0	0	0.000375094	0	0.041370748	0	0.102253256	0.391417819	0.859966003	0	0	0	0	0	0.007457759	0
7	1	0	0.049934453	0.005003417	0	0	0	0	0.000398044	0	0.025517621	0.998061809	0	0	0	0.031109707	0.127337201	0.962617449	0.058853685	0	0.016536329	0.002285143
8	0	0	0	0.003221045	0	0	0	0	0.024980443	0	0.006021998	0	0	0	0	0	0	0.037382551	0.761599765	0	0.519834447	0.955783081
9	0	0	0	0	0	0	0	0	0	0	0	0.001938191	0	0	0.001012354	0	0	0	0.17954655	1	0.456171465	0
